p1,p2,R,G,B
101,115,254,254,254
115,62,254,254,254
62,57,254,254,254
57,52,254,254,254
52,74,254,254,254
74,80,254,254,254
80,11,254,254,254
11,38,254,254,254
38,25,254,254,254
25,17,254,254,254
17,26,254,254,254
26,36,254,254,254
36,45,254,254,254
45,106,254,254,254
106,121,254,254,254
121,49,254,254,254
49,71,254,254,254
71,66,254,254,254
66,61,254,254,254
61,15,254,254,254
15,29,254,254,254
29,7,254,254,254
7,33,254,254,254
33,119,254,254,254
119,65,254,254,254
65,59,254,254,254
59,36,254,254,254
36,42,254,254,254
42,122,254,254,254
122,74,254,254,254
74,68,254,254,254
68,78,254,254,254
78,84,254,254,254
84,111,254,254,254
111,15,254,254,254
15,116,254,254,254
116,46,254,254,254
46,20,254,254,254
20,31,254,254,254
31,37,254,254,254
37,46,254,254,254
46,54,254,254,254
54,103,254,254,254
103,94,254,254,254
94,105,254,254,254
105,91,254,254,254
91,99,254,254,254
99,24,254,254,254
24,13,254,254,254
13,22,254,254,254
22,48,254,254,254
48,56,254,254,254
56,62,254,254,254
62,85,254,254,254
85,93,254,254,254
93,102,254,254,254
102,76,254,254,254
76,82,254,254,254
82,72,254,254,254
72,66,254,254,254
66,113,254,254,254
113,86,254,254,254
86,40,254,254,254
40,48,254,254,254
48,23,254,254,254
23,36,254,254,254
36,90,254,254,254
90,116,254,254,254
116,60,254,254,254
60,51,254,254,254
53,53,12,16,50
53,42,12,16,50
42,84,12,16,50
84,69,12,16,50
69,120,12,16,50
120,1,12,16,50
1,7,12,16,50
7,106,12,16,50
106,112,12,16,50
112,62,12,16,50
62,80,12,16,50
80,38,12,16,50
38,16,12,16,50
16,65,12,16,50
65,51,12,16,50
51,118,12,16,50
118,124,12,16,50
124,10,12,16,50
10,100,12,16,50
100,95,12,16,50
95,30,12,16,50
30,11,12,16,50
11,25,12,16,50
25,19,12,16,50
19,6,12,16,50
6,113,12,16,50
113,14,12,16,50
14,118,12,16,50
118,0,12,16,50
0,117,12,16,50
117,34,12,16,50
34,49,12,16,50
49,92,12,16,50
92,108,12,16,50
108,102,12,16,50
102,97,12,16,50
97,79,12,16,50
79,63,12,16,50
63,45,12,16,50
45,101,12,16,50
101,96,12,16,50
96,52,12,16,50
52,68,12,16,50
68,10,12,16,50
10,102,12,16,50
102,97,12,16,50
97,26,12,16,50
26,20,12,16,50
20,39,12,16,50
39,55,12,16,50
55,122,12,16,50
122,4,12,16,50
4,71,12,16,50
71,88,12,16,50
88,46,12,16,50
46,30,12,16,50
30,94,12,16,50
94,110,12,16,50
110,104,12,16,50
104,115,12,16,50
115,23,12,16,50
23,18,12,16,50
18,40,12,16,50
40,54,12,16,50
54,99,12,16,50
99,28,12,16,50
28,22,12,16,50
22,8,12,16,50
88,88,175,30,46
88,2,175,30,46
2,44,175,30,46
44,78,175,30,46
78,122,175,30,46
122,91,175,30,46
91,4,175,30,46
4,42,175,30,46
42,0,175,30,46
0,34,175,30,46
34,121,175,30,46
121,84,175,30,46
84,114,175,30,46
114,81,175,30,46
81,50,175,30,46
50,6,175,30,46
6,39,175,30,46
39,7,175,30,46
7,43,175,30,46
43,79,175,30,46
79,114,175,30,46
114,56,175,30,46
56,25,175,30,46
25,110,175,30,46
110,21,175,30,46
21,53,175,30,46
53,8,175,30,46
8,57,175,30,46
57,113,175,30,46
113,67,175,30,46
67,100,175,30,46
100,65,175,30,46
65,107,175,30,46
107,73,175,30,46
73,117,175,30,46
117,86,175,30,46
86,54,175,30,46
54,15,175,30,46
15,105,175,30,46
105,24,175,30,46
24,60,175,30,46
60,21,175,30,46
21,57,175,30,46
57,90,175,30,46
90,123,175,30,46
123,82,175,30,46
82,113,175,30,46
113,72,175,30,46
72,41,175,30,46
