x1,y1,x2,y2
501,251,24,356
24,356,499,222
499,222,10,317
10,317,499,280
499,280,2,282
2,282,492,314
492,314,1,251
1,251,499,277
499,277,2,279
2,279,501,251
501,251,125,466
125,466,500,272
500,272,1,246
1,246,482,345
482,345,4,291
4,291,495,304
495,304,2,222
2,222,384,462
384,462,6,197
6,197,481,154
481,154,37,380
37,380,492,185
492,185,23,354
23,354,498,218
498,218,1,229
1,229,379,465
379,465,384,39
384,39,367,472
367,472,5,202
5,202,475,361
475,361,47,396
47,396,480,350
480,350,6,300
6,300,424,431
424,431,2,282
2,282,495,302
495,302,3,213
3,213,471,368
471,368,26,140
26,140,329,488
329,488,431,77
431,77,313,493
313,493,35,123
35,123,272,500
272,500,59,90
59,90,238,500
238,500,70,77
70,77,216,498
216,498,57,92
57,92,233,500
233,500,76,72
76,72,222,499
222,499,481,154
481,154,8,188
8,188,476,143
476,143,205,496
205,496,55,95
55,95,190,493
190,493,493,190
493,190,24,145
24,145,268,500
268,500,457,110
457,110,293,497
293,497,442,90
442,90,20,347
20,347,491,182
491,182,169,487
169,487,136,28
136,28,138,474
138,474,500,258
500,258,1,243
1,243,497,208
497,208,22,351
22,351,454,396
454,396,15,335
15,335,491,320
491,320,5,296
5,296,434,420
434,420,15,167
15,167,490,178
490,178,19,156
19,156,483,343
483,343,3,287
3,287,498,287
498,287,96,447
96,447,494,305
494,305,59,90
59,90,484,341
484,341,62,415
62,415,494,194
494,194,2,277
2,277,500,246
500,246,122,465
122,465,500,232
500,232,30,368
30,368,460,387
460,387,10,320
10,320,477,356
477,356,7,305
7,305,418,436
418,436,88,61
88,61,169,487
169,487,52,99
52,99,500,272
500,272,7,194
7,194,500,233
500,233,2,274
2,274,484,161
484,161,10,181
10,181,474,138
474,138,287,498
287,498,440,88
440,88,19,345
19,345,490,179
490,179,1,260
1,260,487,332
487,332,61,413
61,413,493,190
493,190,178,490
178,490,94,56
94,56,431,424
431,424,1,255
1,255,461,115
461,115,319,491
319,491,413,61
413,61,288,498
288,498,14,169
14,169,480,151
480,151,216,498
216,498,34,126
34,126,499,221
499,221,3,218
3,218,464,121
464,121,329,488
329,488,399,49
399,49,308,494
308,494,24,144
24,144,325,489
325,489,446,95
446,95,37,380
37,380,488,328
488,328,1,257
1,257,498,283
498,283,131,470
131,470,500,258
500,258,3,285
3,285,485,338
485,338,46,394
46,394,500,263
500,263,27,363
27,363,500,229
500,229,1,272
1,272,425,429
425,429,91,58
91,58,133,471
133,471,107,46
107,46,272,500
272,500,12,175
12,175,487,170
487,170,16,337
16,337,434,81
434,81,14,331
14,331,456,392
456,392,34,375
34,375,500,238
500,238,151,480
151,480,50,101
50,101,493,313
493,313,1,233
1,233,467,126
467,126,2,225
2,225,498,216
498,216,37,121
37,121,335,486
335,486,450,100
450,100,261,500
261,500,10,182
10,182,387,460
387,460,378,35
378,35,357,477
357,477,7,305
7,305,462,383
462,383,28,364
28,364,489,326
489,326,1,238
1,238,483,158
483,158,299,496
299,496,22,148
22,148,263,500
263,500,494,196
494,196,3,216
3,216,462,118
462,118,300,495
300,495,447,96
447,96,257,500
257,500,8,188
8,188,229,500
229,500,401,51
401,51,158,483
158,483,144,24
144,24,90,442
90,442,123,35
123,35,205,496
205,496,375,34
375,34,354,478
354,478,468,127
468,127,338,485
338,485,367,29
367,29,202,496
202,496,68,79
68,79,495,302
495,302,84,437
84,437,118,39
118,39,76,429
76,429,451,400
451,400,51,401
51,401,472,367
472,367,67,420
67,420,481,348
481,348,5,297
5,297,497,294
497,294,48,104
48,104,131,470
131,470,84,64
84,64,415,439
415,439,11,323
11,323,492,316
492,316,6,199
6,199,496,299
496,299,74,74
74,74,127,468
127,468,45,109
45,109,500,257
500,257,19,156
19,156,294,497
294,497,1,235
1,235,490,323
490,323,26,361
26,361,446,95
446,95,254,500
254,500,428,75
428,75,123,466
123,466,42,113
42,113,490,178
490,178,23,147
23,147,486,167
486,167,307,494
307,494,1,230
1,230,493,310
493,310,138,474
138,474,497,293
497,293,10,182
10,182,500,241
500,241,2,279
2,279,431,77
431,77,13,329
13,329,390,458
390,458,34,375
34,375,450,401
450,401,89,441
89,441,468,374
468,374,6,302
6,302,489,326
489,326,17,341
17,341,439,86
439,86,283,498
283,498,13,173
13,173,475,141
475,141,361,475
361,475,386,40
386,40,211,497
211,497,7,193
7,193,493,190
493,190,261,500
261,500,104,48
104,48,145,477
145,477,157,19
157,19,34,375
34,375,475,361
475,361,13,328
13,328,400,451
400,451,55,406
55,406,418,436
418,436,370,31
370,31,351,479
351,479,455,107
455,107,266,500
266,500,109,45
109,45,74,427
74,427,412,441
412,441,79,68
79,68,500,247
500,247,4,210
4,210,494,194
494,194,21,350
21,350,367,472
367,472,1,236
1,236,500,271
500,271,29,134
29,134,493,188
493,188,176,489
176,489,56,94
56,94,498,214
498,214,279,499
279,499,62,86
62,86,485,337
485,337,40,386
40,386,353,479
353,479,24,356
24,356,445,94
445,94,320,491
320,491,8,310
8,310,412,441
412,441,407,56
407,56,397,453
397,453,81,434
81,434,444,409
444,409,96,54
96,54,140,475
140,475,52,99
52,99,500,254
500,254,1,232
1,232,251,501
251,501,394,46
394,46,218,498
218,498,499,279
499,279,79,433
79,433,73,75
73,75,500,252
500,252,1,229
1,229,439,86
439,86,10,317
10,317,462,384
462,384,161,484
161,484,54,96
54,96,482,345
482,345,1,265
1,265,428,75
428,75,422,433
422,433,412,60
412,60,163,485
163,485,367,29
367,29,328,488
328,488,495,197
495,197,197,495
197,495,5,202
5,202,460,114
460,114,26,141
26,141,121,464
121,464,37,121
37,121,487,169
487,169,368,471
368,471,480,151
480,151,7,194
7,194,252,500
252,500,1,251
1,251,489,326
489,326,224,499
224,499,496,299
496,299,2,279
2,279,500,272
500,272,216,498
216,498,392,45
392,45,13,328
13,328,176,12
176,12,10,317
10,317,479,353
479,353,101,451
101,451,439,415
439,415,94,445
94,445,35,125
35,125,331,487
331,487,451,101
451,101,30,133
30,133,500,232
500,232,82,66
82,66,498,213
498,213,96,54
96,54,61,413
61,413,474,138
474,138,358,476
358,476,37,380
37,380,444,409
444,409,17,341
17,341,372,469
372,469,79,68
79,68,229,500
229,500,1,257
1,257,499,225
499,225,21,151
21,151,117,462
117,462,432,423
432,423,418,65
418,65,16,164
16,164,481,347
481,347,30,368
30,368,153,20
153,20,143,476
143,476,365,28
365,28,197,495
197,495,66,82
66,82,493,313
493,313,232,500
232,500,432,78
432,78,438,416
438,416,40,386
40,386,164,16
164,16,150,479
150,479,463,382
463,382,375,34
375,34,406,446
406,446,351,22
351,22,350,480
350,480,55,406
55,406,70,77
70,77,479,148
479,148,15,166
15,166,114,460
114,460,434,420
434,420,97,53
97,53,474,138
474,138,345,482
345,482,39,117
39,117,498,213
498,213,2,222
2,222,496,202
496,202,375,467
375,467,16,337
16,337,194,7
194,7,316,492
316,492,276,2
276,2,3,216
3,216,191,493
191,493,130,31
130,31,182,491
182,491,1,240
1,240,288,498
288,498,294,4
294,4,468,374
468,374,73,426
73,426,477,356
477,356,344,19
344,19,348,481
348,481,453,104
453,104,39,118
39,118,429,76
429,76,12,176
12,176,391,457
391,457,404,53
404,53,337,485
337,485,45,392
45,392,67,81
67,81,123,466
123,466,423,432
423,432,458,111
458,111,27,138
27,138,76,429
76,429,499,276
499,276,9,314
9,314,157,19
157,19,6,300
6,300,500,263
500,263,1,249
1,249,499,224
499,224,341,484
341,484,28,364
28,364,150,22
150,22,5,296
5,296,500,260
500,260,300,6
300,6,294,497
294,497,16,164
16,164,475,141
475,141,82,66
82,66,127,468
127,468,395,455
395,455,485,163
485,163,4,208
4,208,491,181
491,181,8,190
8,190,111,458
111,458,464,380
464,380,26,360
26,360,494,305
494,305,11,322
11,322,404,448
404,448,413,61
413,61,39,117
39,117,104,453
104,453,466,378
466,378,22,351
22,351,356,477
356,477,138,27
138,27,473,136
473,136,24,145
24,145,418,65
418,65,417,437
417,437,3,287
3,287,491,320
491,320,357,24
357,24,196,494
196,494,458,390
458,390,176,489
176,489,169,14
169,14,158,483
158,483,500,265
500,265,66,419
