p1,p2,c
205,205,white
205,51,white
51,158,white
158,94,white
94,170,white
170,48,white
48,19,white
19,53,white
53,22,white
22,101,white
101,28,white
28,167,white
167,54,white
54,194,white
194,68,white
68,214,white
214,60,white
60,185,white
185,67,white
67,210,white
210,66,white
66,178,white
178,56,white
56,174,white
174,45,white
45,162,white
162,52,white
52,186,white
186,60,white
60,189,white
189,53,white
197,197,yellow
197,56,yellow
56,226,yellow
226,71,yellow
71,220,yellow
220,77,yellow
77,233,yellow
233,72,yellow
72,224,yellow
224,66,yellow
66,167,yellow
167,48,yellow
48,196,yellow
196,47,yellow
47,193,yellow
193,53,yellow
53,184,yellow
184,68,yellow
68,187,yellow
187,62,yellow
62,192,yellow
192,47,yellow
47,193,yellow
193,59,yellow
165,165,brown
165,30,brown
30,1,brown
1,29,brown
29,241,brown
241,102,brown
102,64,brown
64,170,brown
170,32,brown
32,157,brown
157,26,brown
26,151,brown
151,29,brown
29,3,brown
3,116,brown
116,70,brown
70,21,brown
21,68,brown
68,112,brown
112,73,brown
73,104,brown
104,81,brown
81,204,brown
204,67,brown
67,113,brown
113,71,brown
71,105,brown
105,90,brown
90,129,brown
129,27,brown
27,8,brown
8,32,brown
32,148,brown
148,22,brown
22,81,brown
81,118,brown
118,28,brown
28,242,brown
242,101,brown
101,18,brown
18,145,brown
145,21,brown
21,74,brown
74,210,brown
210,51,brown
51,107,brown
107,25,brown
25,111,brown
111,69,brown
69,203,brown
203,80,brown
80,204,brown
204,48,brown
48,101,brown
101,27,brown
27,132,brown
132,29,brown
29,138,brown
138,28,brown
28,126,brown
126,29,brown
29,166,brown
166,37,brown
37,171,brown
171,34,brown
34,174,brown
174,35,brown
35,162,brown
162,27,brown
27,109,brown
109,61,brown
61,20,brown
20,146,brown
146,29,brown
29,123,brown
123,26,brown
26,106,brown
106,48,brown
48,207,brown
207,82,brown
82,206,brown
206,68,brown
68,198,brown
198,62,brown
62,200,brown
190,190,purple
190,48,purple
48,66,purple
66,235,purple
235,64,purple
64,57,purple
57,63,purple
63,52,purple
52,89,purple
89,220,purple
220,72,purple
72,221,purple
221,89,purple
89,30,purple
30,66,purple
66,53,purple
