p1,p2,R,G,B
54,54,255,255,255
54,37,255,255,255
37,48,255,255,255
48,31,255,255,255
31,57,255,255,255
57,118,255,255,255
118,120,255,255,255
120,117,255,255,255
117,122,255,255,255
122,118,255,255,255
118,120,255,255,255
120,117,255,255,255
117,119,255,255,255
119,124,255,255,255
124,112,255,255,255
112,134,255,255,255
134,1,255,255,255
1,22,255,255,255
22,146,255,255,255
146,0,255,255,255
0,147,255,255,255
147,1,255,255,255
1,14,255,255,255
14,26,255,255,255
26,31,255,255,255
31,131,255,255,255
131,114,255,255,255
114,141,255,255,255
141,87,255,255,255
87,102,255,255,255
102,58,255,255,255
58,143,255,255,255
143,31,255,255,255
31,26,255,255,255
26,35,255,255,255
35,39,255,255,255
39,24,255,255,255
24,64,255,255,255
64,44,255,255,255
44,38,255,255,255
38,96,255,255,255
96,100,255,255,255
100,97,255,255,255
97,95,255,255,255
95,99,255,255,255
99,96,255,255,255
96,100,255,255,255
100,93,255,255,255
93,129,255,255,255
129,13,255,255,255
13,19,255,255,255
19,42,255,255,255
42,53,255,255,255
53,72,255,255,255
72,68,255,255,255
68,73,255,255,255
73,76,255,255,255
76,108,255,255,255
108,19,255,255,255
19,86,255,255,255
86,92,255,255,255
92,89,255,255,255
89,91,255,255,255
91,6,255,255,255
6,50,255,255,255
50,65,255,255,255
65,75,255,255,255
75,80,255,255,255
80,77,255,255,255
77,74,255,255,255
74,78,255,255,255
78,82,255,255,255
82,66,255,255,255
66,71,255,255,255
71,67,255,255,255
67,88,255,255,255
88,123,255,255,255
123,117,255,255,255
117,120,255,255,255
120,115,255,255,255
115,126,255,255,255
126,111,255,255,255
111,12,255,255,255
12,85,255,255,255
85,91,255,255,255
91,136,255,255,255
136,11,255,255,255
11,147,255,255,255
147,5,255,255,255
5,27,255,255,255
27,49,255,255,255
49,29,255,255,255
29,45,255,255,255
45,149,255,255,255
149,15,255,255,255
15,109,255,255,255
109,82,255,255,255
82,64,255,255,255
64,104,255,255,255
104,130,255,255,255
130,115,255,255,255
115,25,255,255,255
25,16,255,255,255
16,31,255,255,255
31,136,255,255,255
136,10,255,255,255
10,59,255,255,255
59,101,255,255,255
101,95,255,255,255
95,99,255,255,255
99,94,255,255,255
94,31,255,255,255
31,52,255,255,255
52,141,255,255,255
141,13,255,255,255
13,47,255,255,255
47,63,255,255,255
63,83,255,255,255
83,125,255,255,255
125,110,255,255,255
110,133,255,255,255
133,149,255,255,255
149,34,255,255,255
34,24,255,255,255
24,66,255,255,255
66,71,255,255,255
71,67,255,255,255
67,72,255,255,255
72,77,255,255,255
77,74,255,255,255
74,78,255,255,255
78,91,255,255,255
91,85,255,255,255
85,129,255,255,255
129,12,255,255,255
12,26,255,255,255
26,57,255,255,255
57,124,255,255,255
124,113,255,255,255
113,134,255,255,255
134,6,255,255,255
6,137,255,255,255
137,0,255,255,255
0,16,255,255,255
16,35,255,255,255
35,58,255,255,255
58,25,255,255,255
25,123,255,255,255
123,59,255,255,255
59,103,255,255,255
103,89,255,255,255
89,98,255,255,255
98,84,255,255,255
84,62,255,255,255
62,38,255,255,255
38,19,255,255,255
19,131,255,255,255
131,75,255,255,255
75,80,255,255,255
80,73,255,255,255
73,68,255,255,255
68,105,255,255,255
105,72,255,255,255
72,83,255,255,255
83,100,255,255,255
100,96,255,255,255
96,139,255,255,255
139,115,255,255,255
115,122,255,255,255
122,116,255,255,255
116,29,255,255,255
29,95,255,255,255
95,99,255,255,255
99,71,255,255,255
71,101,255,255,255
101,50,255,255,255
50,93,255,255,255
93,122,255,255,255
122,117,255,255,255
117,123,255,255,255
123,111,255,255,255
111,5,255,255,255
5,138,255,255,255
138,3,255,255,255
3,21,255,255,255
21,147,255,255,255
147,54,255,255,255
54,37,255,255,255
37,114,255,255,255
114,132,255,255,255
132,18,255,255,255
18,48,255,255,255
48,88,255,255,255
88,8,255,255,255
8,135,255,255,255
135,0,255,255,255
0,18,255,255,255
18,62,255,255,255
62,25,255,255,255
25,145,255,255,255
145,69,255,255,255
69,74,255,255,255
74,81,255,255,255
81,61,255,255,255
61,42,255,255,255
42,24,255,255,255
24,50,255,255,255
50,121,255,255,255
121,98,255,255,255
98,90,255,255,255
90,142,255,255,255
142,120,255,255,255
120,56,255,255,255
56,33,255,255,255
33,144,255,255,255
144,102,255,255,255
102,66,255,255,255
66,82,255,255,255
82,60,255,255,255
60,20,255,255,255
20,109,255,255,255
109,14,255,255,255
14,128,255,255,255
128,115,255,255,255
115,122,255,255,255
122,97,255,255,255
97,125,255,255,255
125,74,255,255,255
74,81,255,255,255
81,63,255,255,255
63,41,255,255,255
41,20,255,255,255
20,130,255,255,255
130,94,255,255,255
94,23,255,255,255
23,123,255,255,255
123,68,255,255,255
68,77,255,255,255
77,69,255,255,255
69,49,255,255,255
49,147,255,255,255
147,29,255,255,255
29,0,255,255,255
0,116,255,255,255
116,122,255,255,255
122,115,255,255,255
115,130,255,255,255
130,22,255,255,255
22,59,255,255,255
59,83,255,255,255
83,63,255,255,255
63,17,255,255,255
17,112,255,255,255
112,7,255,255,255
7,55,255,255,255
55,36,255,255,255
36,65,255,255,255
65,89,255,255,255
89,98,255,255,255
98,79,255,255,255
79,65,255,255,255
65,103,255,255,255
103,87,255,255,255
87,134,255,255,255
134,4,255,255,255
4,32,255,255,255
32,79,255,255,255
79,65,255,255,255
65,50,255,255,255
50,10,255,255,255
10,126,255,255,255
126,90,255,255,255
90,34,255,255,255
34,142,255,255,255
142,59,255,255,255
59,23,255,255,255
23,116,255,255,255
116,138,255,255,255
138,3,255,255,255
3,139,255,255,255
139,86,255,255,255
86,100,255,255,255
100,77,255,255,255
77,68,255,255,255
68,35,255,255,255
35,56,255,255,255
56,27,255,255,255
27,46,255,255,255
46,78,255,255,255
78,67,255,255,255
67,39,255,255,255
39,73,255,255,255
73,80,255,255,255
80,40,255,255,255
40,14,255,255,255
14,140,255,255,255
140,41,255,255,255
41,6,255,255,255
6,137,255,255,255
137,117,255,255,255
117,15,255,255,255
15,127,255,255,255
127,89,255,255,255
89,100,255,255,255
100,88,255,255,255
88,66,255,255,255
66,21,255,255,255
21,141,255,255,255
141,57,255,255,255
57,32,255,255,255
32,133,255,255,255
133,114,255,255,255
114,124,255,255,255
124,84,255,255,255
84,98,255,255,255
98,43,255,255,255
43,68,255,255,255
68,106,255,255,255
106,77,255,255,255
77,103,255,255,255
103,73,255,255,255
73,100,255,255,255
100,47,255,255,255
47,21,255,255,255
21,111,255,255,255
111,23,255,255,255
23,46,255,255,255
46,64,255,255,255
64,76,255,255,255
76,97,255,255,255
97,127,255,255,255
127,87,255,255,255
87,136,255,255,255
136,7,255,255,255
7,122,255,255,255
122,19,255,255,255
19,147,255,255,255
147,18,255,255,255
18,148,255,255,255
148,17,255,255,255
17,79,255,255,255
79,65,255,255,255
65,22,255,255,255
22,54,255,255,255
54,140,255,255,255
140,115,255,255,255
115,41,255,255,255
41,122,255,255,255
122,91,255,255,255
91,9,255,255,255
9,90,255,255,255
90,123,255,255,255
123,58,255,255,255
58,26,255,255,255
26,50,255,255,255
50,17,255,255,255
17,109,255,255,255
110,110,255,130,0
110,115,255,130,0
115,111,255,130,0
111,114,255,130,0
114,91,255,130,0
91,112,255,130,0
112,118,255,130,0
118,135,255,130,0
135,6,255,130,0
6,63,255,130,0
63,57,255,130,0
57,85,255,130,0
85,81,255,130,0
81,84,255,130,0
84,74,255,130,0
74,32,255,130,0
32,35,255,130,0
35,20,255,130,0
20,24,255,130,0
24,8,255,130,0
8,126,255,130,0
126,4,255,130,0
4,93,255,130,0
93,113,255,130,0
113,23,255,130,0
23,27,255,130,0
27,119,255,130,0
119,74,255,130,0
74,33,255,130,0
33,97,255,130,0
97,19,255,130,0
19,31,255,130,0
31,45,255,130,0
45,75,255,130,0
75,102,255,130,0
102,104,255,130,0
104,101,255,130,0
101,103,255,130,0
103,100,255,130,0
100,104,255,130,0
104,101,255,130,0
101,105,255,130,0
105,124,255,130,0
124,46,255,130,0
46,39,255,130,0
39,126,255,130,0
126,15,255,130,0
15,37,255,130,0
37,19,255,130,0
19,128,255,130,0
128,7,255,130,0
7,99,255,130,0
99,106,255,130,0
106,46,255,130,0
46,29,255,130,0
29,124,255,130,0
124,148,255,130,0
148,87,255,130,0
87,81,255,130,0
81,85,255,130,0
85,38,255,130,0
38,16,255,130,0
16,72,255,130,0
72,42,255,130,0
42,99,255,130,0
99,106,255,130,0
106,95,255,130,0
95,58,255,130,0
58,147,255,130,0
147,104,255,130,0
104,101,255,130,0
101,114,255,130,0
114,51,255,130,0
51,59,255,130,0
59,92,255,130,0
92,28,255,130,0
28,117,255,130,0
117,136,255,130,0
136,83,255,130,0
83,103,255,130,0
103,72,255,130,0
72,130,255,130,0
130,38,255,130,0
38,114,255,130,0
114,56,255,130,0
