p1,p2,R,G,B
126,126,226,216,201
126,113,226,216,201
113,22,226,216,201
22,63,226,216,201
63,65,226,216,201
65,64,226,216,201
64,46,226,216,201
46,11,226,216,201
11,10,226,216,201
10,85,226,216,201
85,134,226,216,201
134,110,226,216,201
110,129,226,216,201
129,12,226,216,201
12,45,226,216,201
45,17,226,216,201
17,147,226,216,201
147,149,226,216,201
149,148,226,216,201
148,14,226,216,201
14,77,226,216,201
77,74,226,216,201
74,78,226,216,201
78,80,226,216,201
80,79,226,216,201
79,81,226,216,201
81,78,226,216,201
78,73,226,216,201
73,77,226,216,201
77,74,226,216,201
74,78,226,216,201
78,80,226,216,201
80,79,226,216,201
79,81,226,216,201
81,78,226,216,201
78,73,226,216,201
73,104,226,216,201
104,71,226,216,201
71,67,226,216,201
67,70,226,216,201
70,68,226,216,201
68,71,226,216,201
71,67,226,216,201
67,70,226,216,201
70,66,226,216,201
66,71,226,216,201
71,67,226,216,201
67,70,226,216,201
70,65,226,216,201
65,85,226,216,201
85,102,226,216,201
102,61,226,216,201
61,39,226,216,201
39,140,226,216,201
140,96,226,216,201
96,99,226,216,201
99,97,226,216,201
97,98,226,216,201
98,96,226,216,201
96,99,226,216,201
99,97,226,216,201
97,98,226,216,201
98,96,226,216,201
96,99,226,216,201
99,97,226,216,201
97,100,226,216,201
100,96,226,216,201
96,99,226,216,201
99,97,226,216,201
97,100,226,216,201
100,96,226,216,201
96,99,226,216,201
99,94,226,216,201
94,124,226,216,201
124,112,226,216,201
112,129,226,216,201
129,29,226,216,201
29,2,226,216,201
2,148,226,216,201
148,149,226,216,201
149,147,226,216,201
147,21,226,216,201
21,49,226,216,201
49,88,226,216,201
88,91,226,216,201
91,89,226,216,201
89,92,226,216,201
92,87,226,216,201
87,91,226,216,201
91,89,226,216,201
89,93,226,216,201
93,127,226,216,201
127,114,226,216,201
114,18,226,216,201
18,142,226,216,201
142,56,226,216,201
56,9,226,216,201
9,79,226,216,201
79,81,226,216,201
81,78,226,216,201
78,80,226,216,201
80,77,226,216,201
77,81,226,216,201
81,78,226,216,201
78,73,226,216,201
73,76,226,216,201
76,43,226,216,201
43,62,226,216,201
62,18,226,216,201
18,44,226,216,201
44,117,226,216,201
117,121,226,216,201
121,119,226,216,201
119,122,226,216,201
122,118,226,216,201
118,121,226,216,201
121,117,226,216,201
117,120,226,216,201
120,116,226,216,201
116,121,226,216,201
121,117,226,216,201
117,120,226,216,201
120,116,226,216,201
116,121,226,216,201
121,115,226,216,201
115,2,226,216,201
2,148,226,216,201
148,149,226,216,201
149,147,226,216,201
147,3,226,216,201
3,139,226,216,201
139,11,226,216,201
11,108,226,216,201
