x1,y1,x2,y2
1001,501,45,708
45,708,998,447
998,447,16,625
16,625,996,566
996,566,4,563
4,563,985,625
985,625,1,529
1,529,997,563
997,563,15,622
15,622,997,444
997,444,44,705
44,705,984,373
984,373,40,696
40,696,997,441
997,441,15,619
15,619,997,560
997,560,1,526
1,526,1000,532
1000,532,246,931
246,931,1001,501
1001,501,1,522
1,522,1000,529
1000,529,32,676
32,676,1000,491
1000,491,20,640
20,640,975,658
975,658,1,532
1,532,978,649
978,649,1,475
1,475,774,919
774,919,3,447
3,447,952,716
952,716,9,407
9,407,744,937
744,937,20,361
20,361,969,325
969,325,22,355
22,355,750,934
750,934,768,78
768,78,725,947
725,947,15,379
15,379,979,646
979,646,4,438
4,438,986,622
986,622,1,526
1,526,817,888
817,888,3,548
3,548,963,690
963,690,1,485
1,485,993,413
993,413,28,664
28,664,894,809
894,809,21,643
21,643,970,673
970,673,4,444
4,444,997,438
997,438,14,616
14,616,896,807
896,807,23,352
23,352,968,322
968,322,73,760
73,760,961,305
961,305,12,394
12,394,949,279
949,279,413,993
413,993,170,125
170,125,388,988
388,988,982,364
982,364,12,607
12,607,996,435
996,435,328,970
328,970,994,419
994,419,316,965
316,965,197,104
197,104,290,954
290,954,1000,479
1000,479,58,733
58,733,998,453
998,453,52,722
52,722,921,771
921,771,5,569
5,569,957,705
957,705,94,792
94,792,945,730
945,730,3,453
3,453,768,923
768,923,1,482
1,482,992,410
992,410,27,661
27,661,967,682
967,682,3,450
3,450,997,444
997,444,337,973
337,973,271,56
271,56,331,971
331,971,167,128
167,128,382,986
382,986,981,361
981,361,39,308
39,308,682,967
682,967,787,91
787,91,673,970
673,970,37,314
37,314,560,997
560,997,111,187
111,187,479,1000
479,1000,130,165
130,165,463,999
463,999,151,143
151,143,373,984
373,984,971,331
971,331,19,367
19,367,980,643
980,643,154,861
154,861,986,622
986,622,10,404
10,404,953,713
953,713,44,296
44,296,980,358
980,358,379,986
379,986,161,134
161,134,438,997
438,997,109,189
109,189,475,1000
475,1000,91,214
91,214,994,582
994,582,241,928
241,928,1000,497
1000,497,1,519
