p1,p2,R,G,B
183,183,251,253,253
45,183,251,253,253
214,45,251,253,253
40,214,251,253,253
216,40,251,253,253
145,216,251,253,253
247,145,251,253,253
105,247,251,253,253
220,105,251,253,253
100,220,251,253,253
24,100,251,253,253
127,24,251,253,253
233,127,251,253,253
70,233,251,253,253
246,70,251,253,253
141,246,251,253,253
216,141,251,253,253
37,216,251,253,253
191,37,251,253,253
68,191,251,253,253
157,68,251,253,253
235,157,251,253,253
140,235,251,253,253
238,140,251,253,253
148,238,251,253,253
43,148,251,253,253
212,43,251,253,253
94,212,251,253,253
185,94,251,253,253
32,185,251,253,253
110,32,251,253,253
15,110,251,253,253
92,15,251,253,253
21,92,251,253,253
125,21,251,253,253
201,125,251,253,253
93,201,251,253,253
178,93,251,253,253
83,178,251,253,253
9,83,251,253,253
139,9,251,253,253
210,139,251,253,253
133,210,251,253,253
9,133,251,253,253
171,9,251,253,253
80,171,251,253,253
6,80,251,253,253
113,6,251,253,253
23,113,251,253,253
179,23,251,253,253
26,179,251,253,253
120,26,251,253,253
195,120,251,253,253
112,195,251,253,253
4,112,251,253,253
129,4,251,253,253
205,129,251,253,253
133,205,251,253,253
12,133,251,253,253
89,12,251,253,253
15,89,251,253,253
88,15,251,253,253
168,88,251,253,253
63,168,251,253,253
221,63,251,253,253
151,221,251,253,253
53,151,251,253,253
200,53,251,253,253
51,200,251,253,253
207,51,251,253,253
94,207,251,253,253
230,94,251,253,253
101,230,251,253,253
231,101,251,253,253
106,231,251,253,253
8,106,251,253,253
129,8,251,253,253
32,129,251,253,253
194,32,251,253,253
50,194,251,253,253
212,50,251,253,253
42,212,251,253,253
145,42,251,253,253
239,145,251,253,253
139,239,251,253,253
19,139,251,253,253
114,19,251,253,253
225,114,251,253,253
151,225,251,253,253
227,151,251,253,253
103,227,251,253,253
245,103,251,253,253
71,245,251,253,253
159,71,251,253,253
65,159,251,253,253
215,65,251,253,253
39,215,251,253,253
126,39,251,253,253
4,126,251,253,253
157,4,251,253,253
246,157,251,253,253
147,246,251,253,253
54,147,251,253,253
167,54,251,253,253
92,167,251,253,253
203,92,251,253,253
124,203,251,253,253
33,124,251,253,253
193,33,251,253,253
66,193,251,253,253
163,66,251,253,253
76,163,251,253,253
176,76,251,253,253
73,176,251,253,253
239,73,251,253,253
71,239,251,253,253
243,71,251,253,253
152,243,251,253,253
224,152,251,253,253
149,224,251,253,253
19,149,251,253,253
91,19,251,253,253
14,91,251,253,253
120,14,251,253,253
229,120,251,253,253
102,229,251,253,253
26,102,251,253,253
115,26,251,253,253
199,115,251,253,253
48,199,251,253,253
208,48,251,253,253
130,208,251,253,253
41,130,251,253,253
188,41,251,253,253
37,188,251,253,253
212,37,251,253,253
39,212,251,253,253
190,39,251,253,253
36,190,251,253,253
155,36,251,253,253
232,155,251,253,253
123,232,251,253,253
197,123,251,253,253
120,197,251,253,253
33,120,251,253,253
175,33,251,253,253
24,175,251,253,253
99,24,251,253,253
232,99,251,253,253
132,232,251,253,253
206,132,251,253,253
54,206,251,253,253
149,54,251,253,253
225,149,251,253,253
106,225,251,253,253
29,106,251,253,253
161,29,251,253,253
2,161,251,253,253
78,2,251,253,253
3,78,251,253,253
154,3,251,253,253
231,154,251,253,253
104,231,251,253,253
1,104,251,253,253
79,1,251,253,253
219,79,251,253,253
58,219,251,253,253
169,58,251,253,253
90,169,251,253,253
163,90,251,253,253
91,163,251,253,253
171,91,251,253,253
87,171,251,253,253
173,87,251,253,253
27,173,251,253,253
178,27,251,253,253
82,178,251,253,253
218,82,251,253,253
59,218,251,253,253
168,59,251,253,253
7,168,251,253,253
130,7,251,253,253
43,130,251,253,253
