p1,p2,R,G,B
78,78,0,0,0
77,78,0,0,0
76,77,0,0,0
75,76,0,0,0
37,75,0,0,0
38,37,0,0,0
36,38,0,0,0
34,36,0,0,0
1,34,0,0,0
2,1,0,0,0
96,2,0,0,0
99,96,0,0,0
97,99,0,0,0
0,97,0,0,0
21,0,0,0,0
24,21,0,0,0
26,24,0,0,0
28,26,0,0,0
8,28,0,0,0
5,8,0,0,0
95,5,0,0,0
91,95,0,0,0
93,91,0,0,0
7,93,0,0,0
13,7,0,0,0
40,13,0,0,0
41,40,0,0,0
43,41,0,0,0
45,43,0,0,0
46,45,0,0,0
48,46,0,0,0
49,48,0,0,0
51,49,0,0,0
53,51,0,0,0
56,53,0,0,0
42,56,0,0,0
90,42,0,0,0
79,90,0,0,0
77,79,0,0,0
78,77,0,0,0
76,78,0,0,0
73,76,0,0,0
71,73,0,0,0
70,71,0,0,0
68,70,0,0,0
66,68,0,0,0
64,66,0,0,0
63,64,0,0,0
61,63,0,0,0
59,61,0,0,0
62,59,0,0,0
65,62,0,0,0
68,65,0,0,0
70,68,0,0,0
72,70,0,0,0
74,72,0,0,0
77,74,0,0,0
80,77,0,0,0
82,80,0,0,0
84,82,0,0,0
81,84,0,0,0
52,81,0,0,0
17,52,0,0,0
29,17,0,0,0
32,29,0,0,0
36,32,0,0,0
27,36,0,0,0
34,27,0,0,0
40,34,0,0,0
43,40,0,0,0
45,43,0,0,0
48,45,0,0,0
51,48,0,0,0
49,51,0,0,0
45,49,0,0,0
48,45,0,0,0
51,48,0,0,0
54,51,0,0,0
44,54,0,0,0
88,44,0,0,0
85,88,0,0,0
23,85,0,0,0
17,23,0,0,0
74,17,0,0,0
72,74,0,0,0
69,72,0,0,0
40,69,0,0,0
92,40,0,0,0
88,92,0,0,0
16,88,0,0,0
9,16,0,0,0
5,9,0,0,0
99,5,0,0,0
63,99,0,0,0
60,63,0,0,0
26,60,0,0,0
65,26,0,0,0
67,65,0,0,0
64,67,0,0,0
77,64,0,0,0
80,77,0,0,0
82,80,0,0,0
79,82,0,0,0
76,79,0,0,0
73,76,0,0,0
70,73,0,0,0
67,70,0,0,0
64,67,0,0,0
61,64,0,0,0
58,61,0,0,0
55,58,0,0,0
51,55,0,0,0
47,51,0,0,0
43,47,0,0,0
39,43,0,0,0
42,39,0,0,0
57,42,0,0,0
89,57,0,0,0
86,89,0,0,0
82,86,0,0,0
79,82,0,0,0
76,79,0,0,0
72,76,0,0,0
69,72,0,0,0
87,69,0,0,0
21,87,0,0,0
29,21,0,0,0
23,29,0,0,0
93,23,0,0,0
36,93,0,0,0
69,36,0,0,0
2,69,0,0,0
11,2,0,0,0
16,11,0,0,0
34,16,0,0,0
82,34,0,0,0
86,82,0,0,0
81,86,0,0,0
88,81,0,0,0
0,88,0,0,0
39,0,0,0,0
62,39,0,0,0
66,62,0,0,0
70,66,0,0,0
59,70,0,0,0
55,59,0,0,0
51,55,0,0,0
46,51,0,0,0
41,46,0,0,0
58,41,0,0,0
38,58,0,0,0
72,38,0,0,0
76,72,0,0,0
79,76,0,0,0
95,79,0,0,0
91,95,0,0,0
9,91,0,0,0
25,9,0,0,0
35,25,0,0,0
0,35,0,0,0
12,0,0,0,0
96,12,0,0,0
3,96,0,0,0
11,3,0,0,0
19,11,0,0,0
38,19,0,0,0
90,38,0,0,0
76,90,0,0,0
81,76,0,0,0
86,81,0,0,0
55,86,0,0,0
59,55,0,0,0
64,59,0,0,0
68,64,0,0,0
72,68,0,0,0
42,72,0,0,0
32,42,0,0,0
40,32,0,0,0
45,40,0,0,0
57,45,0,0,0
53,57,0,0,0
48,53,0,0,0
40,48,0,0,0
61,40,0,0,0
65,61,0,0,0
10,65,0,0,0
21,10,0,0,0
5,21,0,0,0
74,5,0,0,0
91,74,0,0,0
16,91,0,0,0
30,16,0,0,0
22,30,0,0,0
97,22,0,0,0
87,97,0,0,0
26,87,0,0,0
2,26,0,0,0
78,2,0,0,0
73,78,0,0,0
68,73,0,0,0
63,68,0,0,0
37,63,0,0,0
78,37,0,0,0
58,78,0,0,0
75,58,0,0,0
80,75,0,0,0
84,80,0,0,0
31,84,0,0,0
94,31,0,0,0
6,94,0,0,0
18,6,0,0,0
44,18,0,0,0
30,44,0,0,0
6,30,0,0,0
16,6,0,0,0
94,16,0,0,0
49,94,0,0,0
55,49,0,0,0
43,55,0,0,0
31,43,0,0,0
20,31,0,0,0
76,20,0,0,0
71,76,0,0,0
66,71,0,0,0
59,66,0,0,0
51,59,0,0,0
46,51,0,0,0
66,46,0,0,0
58,66,0,0,0
4,58,0,0,0
31,4,0,0,0
20,31,0,0,0
5,20,0,0,0
95,5,0,0,0
62,95,0,0,0
83,62,0,0,0
94,83,0,0,0
80,94,0,0,0
89,80,0,0,0
56,89,0,0,0
47,56,0,0,0
58,47,0,0,0
40,58,0,0,0
96,40,0,0,0
76,96,0,0,0
33,76,0,0,0
19,33,0,0,0
62,19,0,0,0
38,62,0,0,0
73,38,0,0,0
68,73,0,0,0
74,68,0,0,0
79,74,0,0,0
87,79,0,0,0
37,87,0,0,0
14,37,0,0,0
99,14,0,0,0
36,99,0,0,0
23,36,0,0,0
69,23,0,0,0
45,69,0,0,0
84,45,0,0,0
73,84,0,0,0
60,73,0,0,0
49,60,0,0,0
39,49,0,0,0
52,39,0,0,0
44,52,0,0,0
98,44,0,0,0
85,98,0,0,0
18,85,0,0,0
97,18,0,0,0
15,97,0,0,0
35,15,0,0,0
2,35,0,0,0
14,2,0,0,0
24,14,0,0,0
37,24,0,0,0
98,37,0,0,0
67,98,0,0,0
57,67,0,0,0
75,57,0,0,0
81,75,0,0,0
40,81,0,0,0
70,40,0,0,0
61,70,0,0,0
42,61,0,0,0
74,42,0,0,0
82,74,0,0,0
98,82,0,0,0
77,98,0,0,0
89,77,0,0,0
53,89,0,0,0
25,53,0,0,0
12,25,0,0,0
0,12,0,0,0
29,0,0,0,0
45,29,0,0,0
17,45,0,0,0
90,17,0,0,0
50,90,0,0,0
11,50,0,0,0
73,11,0,0,0
64,73,0,0,0
16,64,0,0,0
1,16,0,0,0
87,1,0,0,0
75,87,0,0,0
67,75,0,0,0
24,67,0,0,0
4,24,0,0,0
42,4,0,0,0
57,42,0,0,0
31,57,0,0,0
43,31,0,0,0
53,43,0,0,0
8,53,0,0,0
95,8,0,0,0
25,95,0,0,0
13,25,0,0,0
71,13,0,0,0
80,71,0,0,0
5,80,0,0,0
37,5,0,0,0
10,37,0,0,0
78,10,0,0,0
88,78,0,0,0
54,88,0,0,0
71,54,0,0,0
59,71,0,0,0
38,59,0,0,0
74,38,0,0,0
63,74,0,0,0
49,63,0,0,0
78,49,0,0,0
94,78,0,0,0
9,94,0,0,0
22,9,0,0,0
37,22,0,0,0
92,37,0,0,0
13,92,0,0,0
32,13,0,0,0
19,32,0,0,0
5,19,0,0,0
84,5,0,0,0
27,84,0,0,0
43,27,0,0,0
56,43,0,0,0
68,56,0,0,0
79,68,0,0,0
46,79,0,0,0
59,46,0,0,0
95,59,0,0,0
82,95,0,0,0
74,82,0,0,0
90,74,0,0,0
40,90,0,0,0
21,40,0,0,0
44,21,0,0,0
9,44,0,0,0
69,9,0,0,0
55,69,0,0,0
5,55,0,0,0
33,5,0,0,0
8,33,0,0,0
26,8,0,0,0
50,26,0,0,0
34,50,0,0,0
67,34,0,0,0
53,67,0,0,0
41,53,0,0,0
77,41,0,0,0
63,77,0,0,0
3,63,0,0,0
84,3,0,0,0
71,84,0,0,0
86,71,0,0,0
2,86,0,0,0
47,2,0,0,0
65,47,0,0,0
14,65,0,0,0
76,14,0,0,0
66,76,0,0,0
99,66,0,0,0
13,99,0,0,0
31,13,0,0,0
15,31,0,0,0
98,15,0,0,0
80,98,0,0,0
41,80,0,0,0
89,41,0,0,0
45,89,0,0,0
60,45,0,0,0
37,60,0,0,0
19,37,0,0,0
95,19,0,0,0
44,95,0,0,0
30,44,0,0,0
73,30,0,0,0
8,73,0,0,0
23,8,0,0,0
63,23,0,0,0
48,63,0,0,0
64,48,0,0,0
42,64,0,0,0
67,42,0,0,0
81,67,0,0,0
96,81,0,0,0
35,96,0,0,0
10,35,0,0,0
93,10,0,0,0
32,93,0,0,0
11,32,0,0,0
26,11,0,0,0
58,26,0,0,0
43,58,0,0,0
25,43,0,0,0
79,25,0,0,0
4,79,0,0,0
38,4,0,0,0
76,38,0,0,0
65,76,0,0,0
1,65,0,0,0
39,1,0,0,0
23,39,0,0,0
89,23,0,0,0
77,89,0,0,0
62,77,0,0,0
7,62,0,0,0
24,7,0,0,0
98,24,0,0,0
14,98,0,0,0
28,14,0,0,0
59,28,0,0,0
73,59,0,0,0
82,73,0,0,0
51,82,0,0,0
93,51,0,0,0
20,93,0,0,0
54,20,0,0,0
40,54,0,0,0
18,40,0,0,0
99,18,0,0,0
68,99,0,0,0
52,68,0,0,0
73,52,0,0,0
83,73,0,0,0
33,83,0,0,0
52,33,0,0,0
87,52,0,0,0
30,87,0,0,0
97,30,0,0,0
80,97,0,0,0
2,80,0,0,0
18,2,0,0,0
34,18,0,0,0
3,34,0,0,0
85,3,0,0,0
70,85,0,0,0
55,70,0,0,0
39,55,0,0,0
92,39,0,0,0
