p1,p2,R,G,B
78,78,255,255,255
78,80,255,255,255
80,77,255,255,255
77,74,255,255,255
74,72,255,255,255
72,73,255,255,255
73,76,255,255,255
76,71,255,255,255
71,67,255,255,255
67,64,255,255,255
64,82,255,255,255
82,63,255,255,255
63,65,255,255,255
65,69,255,255,255
69,46,255,255,255
46,42,255,255,255
42,26,255,255,255
26,27,255,255,255
27,25,255,255,255
25,28,255,255,255
28,23,255,255,255
23,53,255,255,255
53,54,255,255,255
54,51,255,255,255
51,50,255,255,255
50,56,255,255,255
56,59,255,255,255
59,48,255,255,255
48,65,255,255,255
65,69,255,255,255
69,73,255,255,255
73,68,255,255,255
68,102,255,255,255
102,58,255,255,255
58,41,255,255,255
41,80,255,255,255
80,75,255,255,255
75,77,255,255,255
77,74,255,255,255
74,78,255,255,255
78,110,255,255,255
110,22,255,255,255
22,130,255,255,255
130,95,255,255,255
95,28,255,255,255
28,20,255,255,255
20,17,255,255,255
17,21,255,255,255
21,13,255,255,255
13,137,255,255,255
137,37,255,255,255
37,39,255,255,255
39,45,255,255,255
45,49,255,255,255
49,120,255,255,255
120,122,255,255,255
122,118,255,255,255
118,121,255,255,255
121,115,255,255,255
115,127,255,255,255
127,113,255,255,255
113,129,255,255,255
129,97,255,255,255
97,99,255,255,255
99,96,255,255,255
96,100,255,255,255
100,97,255,255,255
97,99,255,255,255
99,96,255,255,255
96,100,255,255,255
100,97,255,255,255
97,125,255,255,255
125,86,255,255,255
86,92,255,255,255
92,98,255,255,255
98,80,255,255,255
80,75,255,255,255
75,78,255,255,255
78,74,255,255,255
74,77,255,255,255
77,71,255,255,255
71,67,255,255,255
67,122,255,255,255
122,118,255,255,255
118,121,255,255,255
121,117,255,255,255
117,15,255,255,255
15,143,255,255,255
143,30,255,255,255
30,48,255,255,255
48,65,255,255,255
65,25,255,255,255
25,31,255,255,255
31,16,255,255,255
16,149,255,255,255
149,32,255,255,255
32,19,255,255,255
19,108,255,255,255
108,79,255,255,255
79,90,255,255,255
90,98,255,255,255
98,89,255,255,255
89,67,255,255,255
67,72,255,255,255
72,37,255,255,255
37,24,255,255,255
24,0,255,255,255
0,133,255,255,255
133,112,255,255,255
112,19,255,255,255
19,44,255,255,255
44,33,255,255,255
33,147,255,255,255
147,3,255,255,255
3,57,255,255,255
57,13,255,255,255
13,48,255,255,255
48,65,255,255,255
65,71,255,255,255
71,77,255,255,255
77,101,255,255,255
101,84,255,255,255
84,63,255,255,255
63,70,255,255,255
70,76,255,255,255
76,0,255,255,255
0,116,255,255,255
116,121,255,255,255
121,115,255,255,255
115,124,255,255,255
124,119,255,255,255
119,138,255,255,255
138,1,255,255,255
1,28,255,255,255
28,50,255,255,255
50,25,255,255,255
25,35,255,255,255
35,57,255,255,255
57,141,255,255,255
141,117,255,255,255
117,131,255,255,255
131,15,255,255,255
15,75,255,255,255
75,67,255,255,255
67,78,255,255,255
78,74,255,255,255
74,80,255,255,255
80,55,255,255,255
55,140,255,255,255
140,9,255,255,255
9,91,255,255,255
91,12,255,255,255
12,138,255,255,255
138,1,255,255,255
1,22,255,255,255
22,59,255,255,255
59,28,255,255,255
28,14,255,255,255
14,46,255,255,255
46,18,255,255,255
18,113,255,255,255
113,34,255,255,255
34,90,255,255,255
90,98,255,255,255
98,89,255,255,255
89,101,255,255,255
101,51,255,255,255
51,30,255,255,255
30,134,255,255,255
134,6,255,255,255
6,139,255,255,255
139,94,255,255,255
94,102,255,255,255
102,62,255,255,255
62,41,255,255,255
41,115,255,255,255
115,123,255,255,255
123,58,255,255,255
58,83,255,255,255
83,126,255,255,255
126,110,255,255,255
110,148,255,255,255
148,120,255,255,255
120,38,255,255,255
38,55,255,255,255
55,33,255,255,255
33,139,255,255,255
139,4,255,255,255
4,134,255,255,255
134,114,255,255,255
114,16,255,255,255
16,40,255,255,255
40,67,255,255,255
67,78,255,255,255
78,132,255,255,255
132,74,255,255,255
74,80,255,255,255
80,66,255,255,255
66,21,255,255,255
21,147,255,255,255
147,15,255,255,255
15,127,255,255,255
127,98,255,255,255
98,89,255,255,255
89,124,255,255,255
124,115,255,255,255
115,132,255,255,255
132,106,255,255,255
106,6,255,255,255
6,29,255,255,255
29,56,255,255,255
56,17,255,255,255
17,129,255,255,255
129,86,255,255,255
86,99,255,255,255
99,87,255,255,255
87,124,255,255,255
124,115,255,255,255
115,142,255,255,255
142,31,255,255,255
31,80,255,255,255
80,73,255,255,255
73,103,255,255,255
103,90,255,255,255
90,74,255,255,255
74,81,255,255,255
81,73,255,255,255
73,100,255,255,255
100,69,255,255,255
69,46,255,255,255
46,64,255,255,255
64,82,255,255,255
82,133,255,255,255
133,2,255,255,255
42,42,255,130,0
42,48,255,130,0
48,47,255,130,0
47,49,255,130,0
49,37,255,130,0
37,20,255,130,0
20,22,255,130,0
22,30,255,130,0
30,18,255,130,0
18,40,255,130,0
40,45,255,130,0
45,131,255,130,0
131,98,255,130,0
98,23,255,130,0
23,72,255,130,0
72,84,255,130,0
84,82,255,130,0
82,85,255,130,0
85,81,255,130,0
81,88,255,130,0
88,112,255,130,0
112,115,255,130,0
115,111,255,130,0
111,116,255,130,0
116,112,255,130,0
112,115,255,130,0
115,71,255,130,0
71,58,255,130,0
58,53,255,130,0
53,60,255,130,0
60,55,255,130,0
55,86,255,130,0
86,50,255,130,0
50,141,255,130,0
141,134,255,130,0
134,137,255,130,0
137,108,255,130,0
108,104,255,130,0
104,100,255,130,0
100,103,255,130,0
103,74,255,130,0
74,132,255,130,0
132,87,255,130,0
87,81,255,130,0
81,31,255,130,0
31,47,255,130,0
47,113,255,130,0
113,93,255,130,0
93,59,255,130,0
59,4,255,130,0
4,94,255,130,0
94,57,255,130,0
57,87,255,130,0
87,81,255,130,0
81,104,255,130,0
104,100,255,130,0
100,105,255,130,0
105,124,255,130,0
124,146,255,130,0
146,26,255,130,0
26,87,255,130,0
87,81,255,130,0
81,88,255,130,0
88,120,255,130,0
120,33,255,130,0
33,46,255,130,0
46,124,255,130,0
124,22,255,130,0
22,147,255,130,0
147,104,255,130,0
104,100,255,130,0
100,105,255,130,0
105,146,255,130,0
146,122,255,130,0
122,17,255,130,0
17,35,255,130,0
35,74,255,130,0
74,4,255,130,0
4,125,255,130,0
125,83,255,130,0
83,15,255,130,0
15,104,255,130,0
104,100,255,130,0
100,106,255,130,0
106,131,255,130,0
131,26,255,130,0
26,92,255,130,0
92,60,255,130,0
60,111,255,130,0
111,14,255,130,0
14,126,255,130,0
126,1,255,130,0
1,77,255,130,0
77,131,255,130,0
131,100,255,130,0
100,110,255,130,0
110,49,255,130,0
49,82,255,130,0
82,30,255,130,0
30,72,255,130,0
72,28,255,130,0
28,96,255,130,0
96,61,255,130,0
61,101,255,130,0
101,19,255,130,0
19,80,255,130,0
80,102,255,130,0
102,40,255,130,0
40,115,255,130,0
115,101,255,130,0
101,34,255,130,0
34,112,255,130,0
112,48,255,130,0
48,103,255,130,0
103,16,255,130,0
16,123,255,130,0
123,144,255,130,0
144,73,255,130,0
73,22,255,130,0
22,97,255,130,0
