p1,p2,R,G,B
65,65,253,253,253
65,64,253,253,253
64,62,253,253,253
62,60,253,253,253
60,58,253,253,253
58,57,253,253,253
57,59,253,253,253
59,56,253,253,253
56,54,253,253,253
54,51,253,253,253
51,49,253,253,253
49,47,253,253,253
47,45,253,253,253
45,42,253,253,253
42,40,253,253,253
40,71,253,253,253
71,70,253,253,253
70,72,253,253,253
72,74,253,253,253
74,76,253,253,253
76,78,253,253,253
78,80,253,253,253
80,82,253,253,253
82,84,253,253,253
84,86,253,253,253
86,88,253,253,253
88,90,253,253,253
90,92,253,253,253
92,94,253,253,253
94,96,253,253,253
96,98,253,253,253
98,100,253,253,253
100,102,253,253,253
102,104,253,253,253
104,106,253,253,253
106,139,253,253,253
139,137,253,253,253
137,135,253,253,253
135,132,253,253,253
132,131,253,253,253
131,129,253,253,253
129,127,253,253,253
127,124,253,253,253
124,122,253,253,253
122,141,253,253,253
141,104,253,253,253
104,106,253,253,253
106,109,253,253,253
109,111,253,253,253
111,113,253,253,253
113,133,253,253,253
133,33,253,253,253
33,32,253,253,253
32,34,253,253,253
34,41,253,253,253
41,39,253,253,253
39,36,253,253,253
36,33,253,253,253
33,66,253,253,253
66,68,253,253,253
68,70,253,253,253
70,72,253,253,253
72,74,253,253,253
74,76,253,253,253
76,78,253,253,253
78,80,253,253,253
80,82,253,253,253
82,84,253,253,253
84,86,253,253,253
86,88,253,253,253
88,90,253,253,253
90,92,253,253,253
92,145,253,253,253
145,147,253,253,253
147,149,253,253,253
149,1,253,253,253
1,4,253,253,253
4,16,253,253,253
16,18,253,253,253
18,15,253,253,253
15,13,253,253,253
13,11,253,253,253
11,6,253,253,253
6,143,253,253,253
143,140,253,253,253
140,138,253,253,253
138,135,253,253,253
135,132,253,253,253
132,130,253,253,253
130,142,253,253,253
142,147,253,253,253
147,149,253,253,253
149,1,253,253,253
1,44,253,253,253
44,46,253,253,253
46,49,253,253,253
49,52,253,253,253
52,55,253,253,253
55,58,253,253,253
58,61,253,253,253
61,63,253,253,253
63,66,253,253,253
66,68,253,253,253
68,70,253,253,253
70,20,253,253,253
20,22,253,253,253
22,19,253,253,253
19,12,253,253,253
12,9,253,253,253
9,142,253,253,253
142,102,253,253,253
102,100,253,253,253
100,98,253,253,253
98,96,253,253,253
96,14,253,253,253
14,5,253,253,253
5,31,253,253,253
31,29,253,253,253
29,26,253,253,253
26,50,253,253,253
50,127,253,253,253
127,124,253,253,253
124,121,253,253,253
121,119,253,253,253
119,105,253,253,253
105,102,253,253,253
102,100,253,253,253
100,98,253,253,253
98,95,253,253,253
95,93,253,253,253
93,77,253,253,253
77,79,253,253,253
79,69,253,253,253
69,59,253,253,253
59,62,253,253,253
62,65,253,253,253
65,43,253,253,253
43,46,253,253,253
46,57,253,253,253
57,54,253,253,253
54,51,253,253,253
51,82,253,253,253
82,80,253,253,253
80,78,253,253,253
78,76,253,253,253
76,74,253,253,253
74,72,253,253,253
72,0,253,253,253
0,67,253,253,253
67,80,253,253,253
80,78,253,253,253
78,76,253,253,253
76,73,253,253,253
73,70,253,253,253
70,68,253,253,253
68,65,253,253,253
65,62,253,253,253
62,59,253,253,253
59,45,253,253,253
45,42,253,253,253
42,32,253,253,253
32,16,253,253,253
16,84,253,253,253
84,113,253,253,253
113,111,253,253,253
111,108,253,253,253
108,105,253,253,253
105,102,253,253,253
102,93,253,253,253
93,95,253,253,253
95,98,253,253,253
98,100,253,253,253
100,24,253,253,253
24,112,253,253,253
112,110,253,253,253
110,90,253,253,253
90,87,253,253,253
87,85,253,253,253
85,82,253,253,253
82,79,253,253,253
79,76,253,253,253
76,73,253,253,253
73,114,253,253,253
114,116,253,253,253
116,118,253,253,253
118,121,253,253,253
121,124,253,253,253
124,127,253,253,253
127,130,253,253,253
130,134,253,253,253
134,137,253,253,253
137,140,253,253,253
140,135,253,253,253
135,132,253,253,253
132,129,253,253,253
129,3,253,253,253
3,20,253,253,253
20,25,253,253,253
25,29,253,253,253
29,26,253,253,253
26,147,253,253,253
147,4,253,253,253
4,34,253,253,253
34,41,253,253,253
41,49,253,253,253
49,52,253,253,253
52,55,253,253,253
55,59,253,253,253
59,106,253,253,253
106,109,253,253,253
109,112,253,253,253
112,147,253,253,253
147,142,253,253,253
142,32,253,253,253
32,37,253,253,253
37,2,253,253,253
2,148,253,253,253
148,77,253,253,253
77,74,253,253,253
74,70,253,253,253
70,67,253,253,253
67,64,253,253,253
64,60,253,253,253
60,43,253,253,253
43,128,253,253,253
128,85,253,253,253
85,88,253,253,253
88,91,253,253,253
91,94,253,253,253
94,97,253,253,253
97,100,253,253,253
100,103,253,253,253
103,87,253,253,253
87,90,253,253,253
90,93,253,253,253
93,119,253,253,253
119,116,253,253,253
116,10,253,253,253
10,26,253,253,253
26,45,253,253,253
45,49,253,253,253
49,52,253,253,253
52,115,253,253,253
115,132,253,253,253
132,128,253,253,253
128,117,253,253,253
117,114,253,253,253
114,81,253,253,253
81,84,253,253,253
84,87,253,253,253
87,90,253,253,253
90,43,253,253,253
43,31,253,253,253
31,23,253,253,253
23,17,253,253,253
17,11,253,253,253
11,139,253,253,253
139,4,253,253,253
4,36,253,253,253
36,42,253,253,253
42,68,253,253,253
68,65,253,253,253
65,82,253,253,253
82,86,253,253,253
86,127,253,253,253
127,124,253,253,253
124,121,253,253,253
121,118,253,253,253
118,127,253,253,253
127,98,253,253,253
98,101,253,253,253
101,105,253,253,253
105,108,253,253,253
108,111,253,253,253
111,115,253,253,253
115,79,253,253,253
79,92,253,253,253
92,95,253,253,253
95,98,253,253,253
98,96,253,253,253
96,24,253,253,253
24,68,253,253,253
68,71,253,253,253
71,56,253,253,253
56,64,253,253,253
64,61,253,253,253
61,58,253,253,253
58,52,253,253,253
52,48,253,253,253
48,29,253,253,253
29,72,253,253,253
72,76,253,253,253
76,79,253,253,253
79,135,253,253,253
135,132,253,253,253
132,128,253,253,253
128,15,253,253,253
15,2,253,253,253
2,145,253,253,253
145,78,253,253,253
78,81,253,253,253
81,90,253,253,253
90,58,253,253,253
58,70,253,253,253
70,32,253,253,253
32,45,253,253,253
45,106,253,253,253
106,109,253,253,253
109,113,253,253,253
113,116,253,253,253
116,112,253,253,253
112,136,253,253,253
136,5,253,253,253
5,14,253,253,253
14,7,253,253,253
7,27,253,253,253
27,23,253,253,253
23,133,253,253,253
133,141,253,253,253
141,149,253,253,253
149,26,253,253,253
26,35,253,253,253
35,40,253,253,253
40,141,253,253,253
141,51,253,253,253
51,47,253,253,253
47,86,253,253,253
86,82,253,253,253
82,101,253,253,253
101,105,253,253,253
105,108,253,253,253
108,118,253,253,253
118,122,253,253,253
122,80,253,253,253
80,84,253,253,253
84,88,253,253,253
88,91,253,253,253
91,94,253,253,253
94,97,253,253,253
97,100,253,253,253
100,104,253,253,253
104,127,253,253,253
127,133,253,253,253
133,125,253,253,253
125,45,253,253,253
45,67,253,253,253
67,72,253,253,253
72,77,253,253,253
77,53,253,253,253
53,79,253,253,253
79,107,253,253,253
107,67,253,253,253
67,52,253,253,253
52,21,253,253,253
21,0,253,253,253
0,140,253,253,253
140,117,253,253,253
117,113,253,253,253
113,109,253,253,253
109,105,253,253,253
105,101,253,253,253
101,98,253,253,253
98,95,253,253,253
95,91,253,253,253
91,121,253,253,253
121,57,253,253,253
57,63,253,253,253
63,72,253,253,253
72,84,253,253,253
84,51,253,253,253
51,25,253,253,253
25,15,253,253,253
15,107,253,253,253
107,92,253,253,253
92,28,253,253,253
28,49,253,253,253
49,42,253,253,253
42,33,253,253,253
33,15,253,253,253
15,135,253,253,253
135,124,253,253,253
124,120,253,253,253
120,144,253,253,253
144,3,253,253,253
